Name,Department,Rating,Would Take Again,Level of Difficulty
Laree Huntsman,Psychology,4.1,64%,2.6
Helen Brubeck,Accounting & Finance,4.6,92%,2.6
Lee Pate,Physical Ed,4.9,100%,1.6
Alissa Shaw,Health Science,2.7,36%,3.9
Greg Feist,Psychology,4.0,81%,2.7
,,,N/A,N/A
Sandra Trafalis,Psychology,3.7,67%,2.4
Cynthia Rostankowski,Humanities,3.4,39%,3.6
Simone Lundquist,Psychology,4.7,91%,2.7
Felicia Noonis,Health Science,3.0,34%,3.9
Roohi Vora,English,4.7,87%,2.3
Vicki Steiner,Library & Information Science,4.8,96%,2.5
Todd Perreira,Humanities,3.9,63%,3.1
Robert Rinck,Health Science,3.3,36%,2.9
Jennifer Gregg,Psychology,4.3,78%,2.8
Mary Bolin,Library Science,4.2,90%,2
Johanna Tunon,Library & Information Science,4.4,92%,2.7
Roxanne Cnudde,Communication Studies,4.4,100%,2.4
Dave Gustlin,Art & Design,3.4,20%,3.5
Christina Tzeng,Psychology,4.5,88%,2.5
Areum Jensen,Kinesiology,1.4,5%,4.5
Amy Nguyen,Psychology,5.0,100%,1.5
Emanuela Sintamarian Dascalescu,Art & Design,3.7,84%,2.6
Erik Johnson,Humanities,4.6,95%,2.9
Lei Zhang,Library Information Science,2.8,45%,3.8
Mary Hall,Kinesiology,2.7,43%,3.6
Dana Ragouzeos,Design,3.0,50%,4.2
Uryu Michiko,Japanese,5.0,100%,2.3
Charles Greenberg,Library & Information Science,3.0,100%,2
Ann Kalinowski,Business,2.6,34%,3.8
Albert Schendan,Political Science,3.2,37%,3.5
Khosrow Ghadiri,Electrical Engineering,2.2,16%,4
Naomi Wagner,Psychology,3.1,74%,2.6
Therese Louie,Business,3.6,54%,3
Adrienne Eastwood,English,3.7,33%,3.2
Eric Narveson,History,4.9,100%,1.3
Morris Jones,Electrical Engineering,3.7,39%,2.7
Martina Bremer,Mathematics,2.5,19%,4.3
Ossie Rashel,Technology,3.8,65%,2.9
Diane Kovacs,Library Information Science,3.2,55%,2.5
Rachel Turner,English & Comparative Lit.,2.3,20%,4
Cindy Runnels,Library Information Science,4.9,100%,2.1
Kimberli Buckley,Library & Information Science,4.9,100%,1.4
Valerie Lo,American Studies,3.3,67%,3
Andrew Blanton,Art Design,2.8,50%,1.8
Padmavati Tanniru,Mathematics,2.2,13%,4.1
Mark Dowdy,English & Comparative Lit.,4.6,90%,1.9
Ninh D Nguyen,Economics,4.6,80%,2.3
Anuradha Basu,Business,3.3,52%,3.1
Joseph Navarro,English Comparative Lit.,3.6,55%,3.6
Joel Busch,Accounting & Finance,3.3,50%,4.1
Karen Moreno,Kinesiology,2.9,38%,3.3
David Loertscher,Library Science,2.9,65%,3
ernesto martinez,Chicano Studies,4.3,81%,2.1
Lindsay Walsh,Communication,4.9,93%,1.9
Monica Gavino,Business,2.8,39%,3.5
Amin Ghafooripour,Civil Engineering,4.8,93%,2.3
Gopinath Vinodh,Computer Engineering,3.7,70%,2.7
Morgan Sanchez,Sociology,4.5,91%,2.9
Harlan McGhan,Philosophy,3.0,34%,3.5
Jon Richey,Geology,1.2,0%,2.8
William Hong,Mathematics,4.5,100%,2
Jonathan Hunt,Library Science,5.0,100%,3.3
Catherine Fung,Sociology,3.0,50%,2
Karen Castaneda,Geology,3.0,100%,1
Anthony Bernier,Library Science,1.9,26%,4.1
Ignacio Mosqueira,Astronomy,3.3,46%,2.6
Michael Klein,Business,3.3,60%,3.5
Amita Shah,Child Development,4.6,97%,2.7
David McReynolds,Philosophy,4.6,90%,1.8
Chris Donlay,Linguistics Language Dev.,2.9,43%,3.4
Carmen Saleh,African-American Studies,3.6,57%,2.4
Wasin So,Mathematics,2.6,32%,4.2
Martha Behler,Kinesiology,4.7,87%,1.3
Niall McCarthy,Library & Information Science,5.0,100%,4
David Taylor,Computer Science,2.6,30%,4.6
Tijana Rajkovic,Accounting & Finance,3.1,56%,3.5
Minh Vu,Mathematics,3.5,64%,3.9
Everett Smith,Special Education,5.0,100%,1.9
Victor Rodriguez,History,3.4,50%,3.2
Seung Chang,Kinesiology,3.6,69%,2.6
Jennifer Schauer,Humanities,2.0,31%,3.7
Nathan Birtwhistle,Physics,3.2,0%,1.4
Ethel Tshukudu,Computer Science,4.4,100%,2.3
Kanak Somani,Anthropology,5.0,80%,2.6
Seung Ho Chang,Child Development,2.3,25%,3.8
Fabio Di Troia,Computer Science,4.2,84%,3.2
Hamed Mouseghy,Biology,4.2,80%,2.4
Karen Singmaster,Chemistry,4.2,37%,3.3
Sarah McGaffey,Communication,4.3,77%,2.2
Kathie Kratochvil,Theater,4.6,100%,1.7
aaa aaa,Computer Science,2.7,50%,4.3
Bradley Buerer,Geology,4.3,85%,2.5
Sian Sloan,English amp Comparative Lit.,4.3,74%,2.4
Loubna Hafid,French,4.6,100%,2.3
Linda Higgins,Nursing,3.0,40%,4
Jamie Smith,Child Development,3.3,34%,3.3
Steven MacRamalla,Psychology,2.7,49%,3.3
Abera Jiru,Mathematics,2.7,47%,3.2
Karen Knoblaugh,Nutrition & Foods,2.7,28%,3.8
Nathan Osborne,Philosophy,4.6,89%,2.8
Yan Chen,Computer Science,3.2,59%,3.1
Tahereh Arabghalizi,Computer Science,1.7,18%,4.2
Annie Chase,Physics,2.3,34%,2.8
Alla Petrosyan,Engineering,3.4,50%,1.8
Billy Campsey,Accounting,3.5,68%,3.8
Rolanda Pollard,Business,3.3,20%,3
Robert Ovetz,Political Science,2.7,36%,3.6
Emily Bruce,Social Work,4.0,47%,3.1
Marco Meniketti,Anthropology,3.6,79%,2.5
Jordan Schettler,Mathematics,4.6,94%,2.4
Lark Alder,Art,5.0,100%,1.4
Tina Korani,Journalism,4.3,92%,2.6
Manel Palos Pons,Journalism,4.7,100%,2
Kim Knight,Humanities,4.9,86%,2.4
Juan Pena,Psychology,5.0,100%,1.4
Cheryl Chancellor Freeland,Psychology,3.6,57%,4
Sulekha Anand,Biology,3.8,61%,3.6
Nadia Sorkhabi,Child Development,3.0,20%,2.7
Gisele Bousquet,Anthropology,2.2,32%,3.2
Gwendolyn Mok,Music,2.5,10%,3.9
Marilyn Blockus,Mathematics,3.1,12%,3.6
Kathleen McConnell,Communication Studies,2.6,25%,3.3
Vishnu Pendyala,Computer Engineering,4.3,81%,3.9
Triyakshana Seshadri,Economics,2.3,31%,4.2
Olenka Hubickyj,Astronomy,3.6,42%,3
Jessica Fraser,Child Development,4.7,92%,2.6
Anh Nguyen,Mathematics,4.2,86%,1.7
Ahmad Shaar,Business,4.6,88%,2.1
Vimal Viswanathan,Mechanical Engineering,4.9,100%,2.7
Chang Kim,Art & Design,3.8,67%,3.4
Timothy Smith,Mathematics,3.7,25%,2.4
Michel Pharand,Mechanical Engineering,2.0,34%,4.7
Stoyu Ivanov,Accounting & Finance,2.8,32%,3.7
Joseph Hasty,Geography,3.7,59%,2.4
Nancy Da Silva,Social Science,4.4,75%,2.5
Nancy Stork,English,3.5,66%,3.7
Fangjun Xiao,Accounting,3.6,63%,4
Usha Andra,Business,4.7,100%,2.1
Yanika Schneider,Chemical Engineering,2.3,25%,4.2
Lin Zou,Engineering,3.2,72%,3.4
Mahboubeh Madadi,Business,2.6,35%,4
Shaonan Tian,Business,3.6,66%,2.9
Sean Gaffney,Library & Information Science,4.2,80%,2.1
Huy Nguyen,Business,4.3,79%,2.7
Alison Johnson,Library & Information Science,4.9,97%,2.7
Duane Cheers,Mass Communications,1.7,10%,3.8
Michelle Tran,African-American Studies,4.8,94%,1.5
Alev Tug,Kinesiology,1.7,15%,4.1
Kevin Bontenbal,Library Information Science,4.2,88%,1.8
Taehee Jeong,Engineering,1.5,13%,4.1
Edric Dabu,Mathematics,5.0,100%,1
Medha Bodas,Mathematics,2.9,33%,3.8
Jahan Ghofraniha,Computer Engineering,2.3,30%,3.2
Ranko Heindl,Physics,3.7,67%,3.3
Mark Greenough,Business,1.6,19%,4.4
Julia Swan,Linguistics & Language Dev.,4.0,78%,3.2
Jessica Westfall,Biology,4.2,80%,2.4
Alexander Payumo,Biology,2.8,25%,4.5
Vincent Russo,Music,4.3,67%,3
Richard Low,Mathematics,3.0,53%,3.8
Carl Bugarin,Mathematics,3.9,69%,3.5
Karin Brown,Philosophy,4.6,79%,1.8
Tim Hsu,Mathematics,3.3,20%,3.5
Kourosh Youssefi,Mechanical Engineering,4.2,75%,2.4
Kezban Sokat,Marketing,2.9,49%,3.9
Kyle Johnson,Communication,2.5,27%,3.5
Jack Warecki,Engineering,4.9,98%,2
Arjun Buxi,Communication Studies,4.4,87%,1.9
Thomas Altura,Business,4.5,100%,2.2
Mohammed Yahdi,Mathematics,4.2,84%,2.9
Kristian O'Hare,English & Comparative Lit.,4.7,95%,1.9
Stephen Artim,Business,1.8,18%,4.3
Leigh Via,Communication,4.7,89%,1.7
Michele Bertolone,Humanities,4.7,100%,1.7
David Ma,Music,4.7,84%,1.5
Jose De Jesus Garcia Buenrostro,Spanish,4.0,75%,2.5
Anne Cheilek,Writing,4.0,75%,1.5
Robert Cirivilleri,History,3.4,28%,3.4
Ahmad Yazdankhah,Computer Science,3.6,70%,3.2
Sabrina Pinnell,Political Science,3.1,26%,3.4
Susan McKenna,Nursing,3.0,30%,3.2
Feruza Amirkulova,Mechanical Engineering,2.2,40%,4
Kristen Cole,Communication Studies,3.8,50%,4.1
Rafael Kaliski,Computer Engineering,1.6,20%,3.6
Ricardo Ballin,Nursing,5.0,100%,1.7
Daniel Murphy,Kinesiology,4.5,81%,2.9
Megan Thiele,Sociology,4.6,91%,2.5
Isabella Garcia,Health Science,2.0,32%,3.4
Susie Rivera,Justice Studies,4.0,68%,2.8
Kenneth Youngman,Biology,2.6,38%,3.4
Sogol Jahanbekam,Mathematics,4.7,98%,2.8
Virginia Montelongo,Judaic Studies,1.4,15%,3.7
Elaheh Sigari,Physics,3.6,67%,3.4
Anya Iyengar,Communication Studies,4.9,99%,1.6
Danielle Lazerson,Accounting,2.5,42%,4.3
Jorge Gonzalez,Social Work,2.7,34%,3.6
Harit Agroia,Health Science,3.6,67%,4.3
Julia Curry-Rodriquez,International Studies,2.4,32%,3.4
Kendall Ward,Communication Studies,3.5,56%,2.3
Deepa Singamsetti,Nutrition & Foods,4.6,85%,1.8
Heather Duplaisir,Recreation,3.9,70%,2.9
Wayne Jopanda,Asian American Studies,5.0,100%,1.1
